labels,环境,交通,价格,设施,景色
pretty good,0,1,0,0,1
just so so,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
just so so,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
just so so,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
just so so,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
just so so,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
just so so,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
just so so,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
just so so,0,1,0,0,1
pretty good,0,1,0,0,1
just so so,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
just so so,0,1,0,0,1
just so so,0,1,0,0,1
just so so,0,1,0,0,1
pretty bad,0,1,0,0,1
just so so,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
just so so,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty good,0,1,0,0,1
pretty bad,0,1,0,0,1
just so so,0,1,0,0,1
pretty good,0,1,0,0,1
just so so,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
pretty bad,0,1,0,0,1
