Evaluate,Store,LuggageStorage,other,Score
pretty good,1,1,0,4.091677327907983
just so so,1,1,0,4.241424011231562
pretty good,1,1,1,4.698832295383467
pretty bad,1,1,1,4.370216073374503
pretty bad,1,1,0,0.664514758002566
pretty good,1,1,0,4.540631477098352
pretty good,1,1,0,4.202549988159204
pretty good,1,1,1,3.1736644245492167
pretty good,1,1,1,4.79828565187705
just so so,1,1,1,4.338418821192941
pretty good,1,1,1,2.451593686738958
pretty good,1,1,1,3.3715875764804597
pretty good,1,1,1,4.916478503278764
pretty good,1,1,0,4.946847837061931
pretty good,1,1,1,2.2128133348830348
pretty good,1,1,1,4.45656079757476
pretty good,1,1,0,4.585795069772058
pretty good,1,1,0,4.6137624167085685
pretty good,1,1,0,2.327080976658914
pretty bad,1,1,0,1.865350813320247
pretty good,1,1,1,1.1025593719809772
pretty good,1,1,0,1.3287529672939913
just so so,1,1,1,3.272534161597077
pretty good,1,1,1,3.0739045205702453
pretty bad,1,1,1,0.25771463433039465
pretty good,1,1,0,2.8887861915834256
pretty good,1,1,1,2.268543122150442
pretty good,1,1,0,4.1693850695761485
just so so,1,1,0,4.25911439914975
pretty bad,1,1,1,2.48891208546931
pretty bad,1,1,0,0.3349126908580565
pretty bad,1,1,1,1.0888582384470142
pretty good,1,1,1,0.8137653016132497
pretty good,1,1,1,2.8516478429458667
pretty bad,1,1,0,2.853700044644177
pretty bad,1,1,0,2.714136383366686
pretty good,1,1,0,2.4927017242559053
pretty bad,1,1,0,2.0973499219627287
pretty bad,1,1,0,2.199108847910704
pretty good,1,1,1,2.4833812126805164
pretty good,1,1,0,2.388131169166963
pretty bad,1,1,0,3.333894394108551
pretty good,1,1,1,0.7439017468000385
pretty good,1,1,0,3.1217445318900845
pretty good,1,1,1,2.0267823185213696
pretty bad,1,1,0,1.7156322842098843
pretty good,1,1,1,2.5912318597437514
pretty good,1,1,1,1.9354689136978056
pretty good,1,1,1,2.569290557515313
pretty good,1,1,0,3.13106177069853
pretty good,1,1,1,2.3179124468684034
just so so,1,1,0,3.5002098514045032
pretty bad,1,1,1,2.758851683169455
pretty bad,1,1,1,1.321351536662886
pretty good,1,1,0,4.608540979762071
pretty bad,1,1,0,0.9606997772568755
pretty bad,1,1,0,2.1304664200626817
pretty bad,1,1,1,2.101233888399839
pretty good,1,1,1,4.077361803310305
pretty bad,1,1,1,0.07535606446672594
pretty good,1,1,0,2.458521502465986
just so so,1,1,1,2.0728459547065543
pretty bad,1,1,1,0.006950554055977443
pretty good,1,1,0,3.3851203847087277
pretty good,1,1,1,2.355627805353411
just so so,1,1,1,1.5172321714478465
pretty bad,1,1,1,1.7647771852296579
pretty bad,1,1,0,1.2948977027208382
pretty bad,1,1,1,3.569717099098103
pretty good,1,1,1,4.536085307343552
pretty good,1,1,0,2.9247272260489505
pretty good,1,1,0,2.413348423784382
pretty bad,1,1,0,1.9571848932051625
pretty good,1,1,1,2.022109337886393
pretty good,1,1,1,2.3855382735255497
pretty bad,1,1,1,1.7312084148067997
pretty bad,1,1,0,1.431385251315176
just so so,1,1,0,2.168029399323634
pretty good,1,1,0,2.595411567445362
just so so,1,1,1,2.4810240031575574
pretty good,1,1,0,4.806093870057067
pretty good,1,1,1,1.2052448767075241
pretty bad,1,1,0,1.885538855875761
pretty bad,1,1,1,1.041620999563483
pretty good,1,1,1,3.0151280225085557
just so so,1,1,1,2.1091307822529295
just so so,1,1,1,3.2656720724350126
just so so,1,1,0,0.5787045324524225
pretty bad,1,1,0,0.683320716231838
just so so,1,1,1,3.840615283938885
pretty good,1,1,0,4.316901568769847
pretty good,1,1,0,3.313626396188101
pretty good,1,1,0,2.535416584043334
pretty bad,1,1,1,4.447989022296842
pretty bad,1,1,1,1.5328981633372547
pretty good,1,1,1,2.224056129482378
pretty good,1,1,0,4.833849533038853
pretty bad,1,1,1,2.802567227859001
pretty bad,1,1,1,0.3116520114093042
just so so,1,1,1,2.0452041459779937
pretty good,1,1,1,3.360501209117835
pretty bad,1,1,1,0.7405060489945449
pretty good,1,1,0,2.5881357352240957
pretty good,1,1,1,3.4226756516410273
pretty bad,1,1,0,1.0584019405544483
pretty bad,1,1,0,1.3762728789699485
pretty bad,1,1,0,1.0784290219079944
pretty bad,1,1,1,2.099418131365158
pretty good,1,1,0,4.68387805744399
pretty bad,1,1,1,1.1114203024265197
pretty good,1,1,0,3.4789150978433927
pretty bad,1,1,0,2.5139672647031657
just so so,1,1,0,2.8684557135563087
pretty good,1,1,1,2.8034288240141305
just so so,1,1,0,2.8334541949491747
pretty bad,1,1,0,1.8055957565611056
pretty bad,1,1,0,2.8862446525938257
pretty bad,1,1,0,1.2549172485988187
pretty bad,1,1,0,3.9486507229453935
pretty good,1,1,1,4.650624274950168
pretty good,1,1,0,2.638101166584764
pretty bad,1,1,1,1.8688962837296264
pretty bad,1,1,1,1.5682303635956372
pretty bad,1,1,0,0.45458394745829556
pretty bad,1,1,0,0.40239899088781805
pretty good,1,1,1,3.3013733561333023
pretty good,1,1,0,3.744282134954897
pretty good,1,1,1,1.6060360977911718
pretty bad,1,1,1,0.2704542658315763
pretty bad,1,1,1,1.7764293082604077
just so so,1,1,1,3.8327634190090607
pretty good,1,1,1,2.5601893349457043
pretty bad,1,1,0,0.9162636129937535
pretty good,1,1,0,2.4720206886438887
pretty bad,1,1,1,2.92569537460357
pretty bad,1,1,1,1.0090253064890564
just so so,1,1,0,2.298991398721961
just so so,1,1,0,3.9059969497254645
pretty bad,1,1,1,2.12876207415738
pretty bad,1,1,1,2.0763015879699216
pretty good,1,1,1,4.0141422634517925
pretty good,1,1,0,2.472102257166844
just so so,1,1,0,3.579259108287694
pretty bad,1,1,1,0.6418935922422205
pretty bad,1,1,1,4.030554288918492
just so so,1,1,1,0.9322177219353754
pretty bad,1,1,1,2.182216739214114
pretty good,1,1,1,2.619757229377984
pretty good,1,1,1,4.351984669261775
pretty good,1,1,0,2.7075218726899846
pretty bad,1,1,0,4.967915711669064
pretty bad,1,1,0,1.9354409847375909
just so so,1,1,1,4.543189378729862
pretty bad,1,1,1,2.6696774135887815
pretty good,1,1,1,3.4647432128433113
pretty bad,1,1,0,2.587059196090152
pretty bad,1,1,1,2.197690087285883
pretty bad,1,1,1,2.229514346229221
pretty bad,1,1,1,0.22942731643260295
pretty bad,1,1,0,0.11248360632714094
pretty bad,1,1,0,4.413162279079405
pretty bad,1,1,1,3.889985994468509
just so so,1,1,0,2.398772757916875
pretty good,1,1,1,3.7591258097540754
just so so,1,1,0,4.886199548308973
just so so,1,1,0,4.417883256251854
pretty bad,1,1,0,3.931712524733213
pretty good,1,1,0,4.926691833246444
pretty bad,1,1,1,0.7115516652226516
pretty good,1,1,1,4.400402047620689
pretty bad,1,1,1,2.4518903584732223
pretty bad,1,1,1,2.838925769338258
pretty bad,1,1,0,3.9406546500883595
just so so,1,1,0,4.950725216753095
pretty bad,1,1,1,1.3604471472035438
pretty good,1,1,0,4.67135959090719
pretty good,1,1,1,4.239738286707769
pretty good,1,1,1,4.054639527040084
pretty bad,1,1,1,3.983850659176661
pretty good,1,1,0,4.199968690727037
pretty bad,1,1,1,2.0760172811074478
just so so,1,1,1,2.174809270471141
just so so,1,1,0,3.5491838650357685
pretty good,1,1,0,2.5065094440908635
pretty good,1,1,0,3.788440325013975
pretty good,1,1,0,4.735018027231936
pretty bad,1,1,0,2.1446001986856764
pretty bad,1,1,1,3.5658869565768745
pretty good,1,1,1,4.372442509537934
just so so,1,1,1,4.585927104716806
pretty bad,1,1,0,3.472138521172069
pretty good,1,1,0,4.455271818765752
pretty good,1,1,1,4.91806980870095
pretty bad,1,1,1,2.314133111587666
pretty good,1,1,1,4.333786156279172
pretty good,1,1,1,4.892264394032156
pretty good,1,1,1,3.6001655725398125
pretty good,1,1,1,4.753822507915424
pretty good,1,1,1,4.461017878717496
pretty bad,1,1,0,3.052246849610535
pretty good,1,1,1,3.4585989149962995
pretty good,1,1,1,4.842954018005594
just so so,1,1,1,2.18307175407918
pretty bad,1,1,0,4.2092459022816975
pretty bad,1,1,0,2.9608900646502465
pretty good,1,1,1,4.045493995798177
just so so,1,1,1,1.8384568057154227
just so so,1,1,1,2.7352678865989013
pretty good,1,1,0,4.9116661794408465
pretty good,1,1,0,4.778456232758625
just so so,1,1,1,3.020385993920763
pretty bad,1,1,0,2.6710865550872933
pretty bad,1,1,1,4.890343806716945
pretty good,1,1,1,4.385886969033077
pretty bad,1,1,0,4.170318499469943
just so so,1,1,1,1.878737034640149
pretty good,1,1,0,4.646257196383974
pretty bad,1,1,1,4.976256390784376
pretty bad,1,1,1,3.015157623731847
pretty bad,1,1,1,2.1691877930743306
just so so,1,1,0,3.1207517625102135
just so so,1,1,0,3.0455760918893975
just so so,1,1,1,4.623205209623712
pretty good,1,1,1,4.616305450055343
pretty good,1,1,0,2.1367657721287747
pretty good,1,1,1,2.101029915951218
pretty bad,1,1,0,1.7418581404131048
just so so,1,1,0,4.6831128801435105
pretty bad,1,1,0,1.7554030459173005
pretty bad,1,1,1,0.08124537340625904
pretty good,1,1,1,4.014040293917122
pretty good,1,1,0,4.452269973642283
just so so,1,1,0,4.790656594099961
pretty good,1,1,0,4.981765638025269
just so so,1,1,0,2.4895511297791013
pretty good,1,1,0,4.363699557654503
pretty bad,1,1,0,4.147435335129083
pretty good,1,1,1,4.743847633202524
pretty bad,1,1,0,0.9503901914359077
pretty good,1,1,0,4.715845821183285
pretty bad,1,1,0,3.6604249367317414
pretty good,1,1,1,4.808486920837039
pretty good,1,1,1,4.167202612406752
pretty good,1,1,0,4.141645413143264
pretty bad,1,1,1,4.841011862851484
pretty bad,1,1,0,4.0176404724814265
pretty good,1,1,1,4.39387790106584
pretty bad,1,1,1,3.6629116529247496
pretty good,1,1,0,4.181230834805173
pretty good,1,1,0,4.844072800546566
pretty bad,1,1,0,2.849691256359126
pretty bad,1,1,1,4.237561381152692
pretty good,1,1,1,4.463794862061747
pretty good,1,1,1,3.8999667971426364
pretty good,1,1,0,4.522382545020597
pretty bad,1,1,1,3.308969377166088
just so so,1,1,0,3.955572981529835
pretty bad,1,1,0,0.4656067681662398
pretty bad,1,1,0,4.065121253684041
pretty bad,1,1,1,3.90092709553886
pretty good,1,1,0,4.696349089210364
pretty bad,1,1,0,4.658542364575351
pretty bad,1,1,0,4.51787769442638
pretty bad,1,1,0,3.8786369049419354
pretty bad,1,1,0,1.7018917083658724
pretty good,1,1,1,4.673558072269401
pretty bad,1,1,1,3.5064650324799866
pretty bad,1,1,1,2.7792693845493273
pretty bad,1,1,1,2.079049557875474
just so so,1,1,0,4.374613919715558
just so so,1,1,1,3.1454319523711565
pretty good,1,1,0,2.8439178231711013
pretty bad,1,1,1,4.182947833209277
pretty good,1,1,0,4.293453675922049
pretty bad,1,1,1,4.969443583294278
pretty good,1,1,1,3.2318090540558764
pretty good,1,1,0,4.671731002491857
pretty bad,1,1,1,3.823865308329541
pretty good,1,1,0,3.9366685109559976
pretty bad,1,1,0,4.057540787275811
pretty bad,1,1,1,0.09325577144453823
just so so,1,1,1,4.7209442539881294
pretty good,1,1,0,4.802624290148157
pretty good,1,1,0,4.97717231287322
pretty bad,1,1,0,0.3624432141997833
pretty bad,1,1,0,2.4108420067426195
pretty bad,1,1,0,0.719858171533673
pretty good,1,1,0,4.778191246977155
pretty bad,1,1,0,1.270778991483223
pretty bad,1,1,0,4.562133550400619
pretty good,1,1,1,4.851811395647499
pretty good,1,1,0,4.536216567377021
pretty good,1,1,0,4.895131463664526
pretty good,1,1,1,4.680083411979193
pretty bad,1,1,1,4.140331190908421
