comments,sentiments,grade,score,ScenicSpot,labels
"青岛栈桥位于游人如织的青岛中山路南端，桥身从海岸探入如弯月般的青岛湾深处。桥身供游人参观并在此停靠旅游船，由此乘船可看海上青岛。

青岛栈桥始建于清光绪十八年(1892年)，是青岛最早的军事专用人工码头建筑，是青岛的重要标志性建筑物和著名风景游览点",1,1,5,栈桥,pretty good
风景优美，空气清新，值得一去。,0.994790307,1,5,栈桥,pretty good
青岛栈桥全长440米，宽8米，钢混结构。桥南端筑半圆形防波堤，堤内建有民族形式的两层八角楼，名“回澜阁”，游人伫立阁旁，欣赏层层巨浪涌来，“飞阁回澜”被誉为“青岛十景”之一。桥北沿岸，辟为“栈桥公园”，园内花木扶疏，青松碧草，并设有石椅供游人憩坐，观赏海天景色,1,1,4,栈桥,pretty good
青岛栈桥是青岛海滨风景区的景点之一，是国务院于1982年首批公布的国家级风景名胜区，也是首批国家AAAA级旅游景区。青岛栈桥位于游人如织的青岛中山路南端，桥身从海岸探入如弯月般的青岛湾深处。桥身供游人参观并在此停靠旅游船，由此乘船可看海上青岛。,1,1,5,栈桥,pretty good
景色不错，有趣好玩，总体超赞，性价比高，,0.999997464,1,5,栈桥,pretty good
性价比高，景色不错，,0.998922008,1,5,栈桥,pretty good
总体超赞，,0.977063488,1,5,栈桥,pretty good
景色不错，,0.980797938,1,5,栈桥,pretty good
景色不错，值得推荐，有趣好玩，体验很好，,0.999920797,1,4.4,栈桥,pretty good
栈桥位于青岛中心城区的南部海滨，是一条440米长的海上长廊，从陆地延伸入海中。栈桥建于清光绪年间（1892年），已有百年历史，一直以来被视为青岛的象征。栈桥尽头的回澜阁，则是青岛近代历史的见证。,1,1,5,栈桥,pretty good
景色还行，但栈桥的沙滩沙子很粗糙，硌脚，而且比较脏，玩水不适合在栈桥。,0.993592096,1,4.4,栈桥,pretty good
有趣好玩，景色不错，,0.998238412,1,4.4,栈桥,pretty good
很不错(*๓´╰╯`๓)♡,0.912004029,1,4.4,栈桥,pretty good
景色不错，值得推荐，,0.995416169,1,4.4,栈桥,pretty good
景色不错，体验很好，,0.996277823,1,4.4,栈桥,pretty good
！，，，，，,0.5,1,4.4,栈桥,just so so
体验很好，,0.853384445,0,4.4,栈桥,pretty good
风景不错。,0.956214549,1,4.4,栈桥,pretty good
有趣好玩，,0.924940997,1,4.4,栈桥,pretty good
体验很好，值得推荐，景色不错，,0.999122008,1,4.4,栈桥,pretty good
值得推荐，,0.82524633,1,4.4,栈桥,pretty good
青岛的栈桥是原来青岛市民非常喜欢去的好地方，因为那里青岛可以玩的地方不多，现在青岛可以去的地方多了，来这里的就大多数都是外地人了，现在的栈桥又住外加多了一个亭子，海边的风很好，也有很多海鸥在自由飞翔，只是栈桥上多了好多不知真假的越战老兵在卖艺或乞讨，有点不和谐。,0.999999922,1,4.4,栈桥,pretty good
