comments,sentiments,grade,score,ScenicSpot,labels
不错,0.861213235,1,5,青岛海泉湾海洋之星摩天轮,pretty good
景色很美,0.989270299,1,5,青岛海泉湾海洋之星摩天轮,pretty good
挺好的,0.828424622,1,5,青岛海泉湾海洋之星摩天轮,pretty good
服务周到，环境不错,0.993720948,1,4,青岛海泉湾海洋之星摩天轮,pretty good
好,0.655862821,1,5,青岛海泉湾海洋之星摩天轮,just so so
很好,0.779522998,1,4,青岛海泉湾海洋之星摩天轮,pretty good
很好啊,0.779522998,1,5,青岛海泉湾海洋之星摩天轮,pretty good
还不错的   风景不错      价格也还可以   喜欢,0.99775746,1,4,青岛海泉湾海洋之星摩天轮,pretty good
女儿每次来的必选项目。这里的大海没有浒苔，所以每次都从市区开到这里的海边玩,0.982631054,1,5,青岛海泉湾海洋之星摩天轮,pretty good
转的较慢，能长时间的全方位看周边美景，个人感觉挺好，有时间再去玩玩儿,0.789997494,1,4,青岛海泉湾海洋之星摩天轮,pretty good
很早就听说过港中旅，也一直想去，因为工作原因，一直没去成，这次好不容易休息一天，满足了愿望，坐过了一直想坐的摩天轮，虽然有点恐高，但是是情侣的打卡胜地，俯瞰整个港中旅，遥望远方的大海， 心情非常激动，有时间还会再去的……,0.999986733,1,5,青岛海泉湾海洋之星摩天轮,pretty good
挺好的，一次15分钟左右。,0.574944126,0,4,青岛海泉湾海洋之星摩天轮,just so so
摩天轮如果你不快乐，那就出去走走，世界这么大，风景很美，机会很多。人生很短，不要蜷缩在一处阴影中。,0.999999745,1,4,青岛海泉湾海洋之星摩天轮,pretty good
强烈推荐，售票小姐姐很热情，态度不错，适合朋友们来玩。,0.990618581,1,5,青岛海泉湾海洋之星摩天轮,pretty good
推荐带着孩子一起来，小朋友们玩的很开心，景色优美！！！！,0.99911827,1,5,青岛海泉湾海洋之星摩天轮,pretty good
今天人不多，但是景色很美，工作人员也热情❤️,0.991274836,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很美，摩天轮很稳，孩子们也不怕,0.999540271,1,5,青岛海泉湾海洋之星摩天轮,pretty good
设施很完善风景非常好看，美丽的港中旅，太棒了.,0.99982195,1,5,青岛海泉湾海洋之星摩天轮,pretty good
环境不错，摩天轮很浪漫，在高处很稳，孩子玩的很开心,0.999992349,1,5,青岛海泉湾海洋之星摩天轮,pretty good
服务周到，太好玩了太好玩了，我爱青岛我爱摩天轮🎡摩天轮，太棒了太棒了太棒了,0.99999999,1,5,青岛海泉湾海洋之星摩天轮,pretty good
非常好  非常好真的不错  可以带家人体验一下 不错😊,0.997780231,1,5,青岛海泉湾海洋之星摩天轮,pretty good
环境优美，工作人员服务态度很好，推荐大家来,0.945795706,0,5,青岛海泉湾海洋之星摩天轮,pretty good
推荐大家来玩，工作人员很专业，服务很贴心，不错,0.999567717,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很好很好很不错，可以再来，不错不错，太好玩了，很棒，哈哈哈哈哈哈哈哈哈哈哈哈,0.999999959,1,5,青岛海泉湾海洋之星摩天轮,pretty good
服务很好，风景也好,0.921301952,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很好玩，强烈推荐,0.915137395,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很好的出游选择,0.675225112,1,4,青岛海泉湾海洋之星摩天轮,just so so
设施完好，服务周到，风景挺好看,0.998584729,1,5,青岛海泉湾海洋之星摩天轮,pretty good
服务态度太好了，会为我考虑，推荐的套餐划算适合我，谢谢😊,0.916574258,1,5,青岛海泉湾海洋之星摩天轮,pretty good
