,评论,得分,时间,点赞
0,不错的地方，吹吹海风，看看海景，很舒适。跟喜欢的人在一起，是最浪漫的事。,5.0,2021/06/25,0
1,性价比高，有趣好玩，,5.0,2021/06/15,0
2,值得推荐，体验很好，,4.4,2020/09/26,0
3,走走逛逛还可以,4.4,2020/07/20,0
4,小归小，景色好。大部分景点都能看到。十块钱的门票，可以开车上去。从不同的角度看栈桥，信号山，海军博物馆几乎是一览无余了。很好。,4.4,2014/08/27,7
5,"小青岛，青岛，德国强占胶澳后，将其占领区定名为""青岛""，就是根据此岛而得名。这海中孤屿被德人称其为“阿克那岛”，派兵驻守，日占青岛后，称为“加藤岛”，当地居民习称“小青岛”。小青岛面积仅为0．024平方公里，海拔17米。因其形状如同一把古琴，故又有“琴岛”之称。岛距东侧海岸370余米，有长长的海堤与陆地相接。此岛原是陆地的一部分，在海浪长年累月的冲蚀雕凿下，渐与陆地分离，始成今日之形状。",4.4,2016/06/19,6
6,小青岛又称“琴岛”，位于青岛湾内，号称是青岛市最美丽的公园。,4.4,2017/08/28,0
7,小青岛公园位于鲁迅公园附近，可以近距离接触大海，岛上有很多红色礁石，另外还有德国建筑群，我们到达了小青岛灯塔，该塔建于1900年，主要作用是为进出胶州湾和青岛的船舶提供助航服务。岛上绿植很多，在树下很凉爽。,5.0,2021/07/18,0
8,相信有许多游客都去过青岛旅游，不知道大家有没有听说过这个景点，如果有兴趣去青岛旅游的话，一定不能错过这里。这个景区位于山东青岛境内，地处海湾的转角处，这里原本和陆地是相连的，风景秀丽。,4.0,2021/05/17,6
9,从栈桥过来走路10多分钟，走过去的时候到大门才发现5点就关门了，不过从滨河路到大门这一届路很出片，有滨海路，有礁石，有老建筑，特别适合拍照，可惜今天天气一般，要不然肯定又是大片了，喜欢拍照的一定要来走走…,5.0,2021/04/21,2
10,门票十元，是最值得去的地方。青岛之所以叫青岛，就是源于这个小青岛。登上岛，可以看见四周海景，还有海军博物馆，栈桥，灯塔。,5.0,2021/07/17,0
11,里面很大，能逛上一下午，空气好海水蓝，在里面拍照片原片直出！门票只要十块钱，学生票半价奥。注意⚠️公园是五点关门，如果想来逛逛的朋友一定要早一点，因为拍照会花掉大部分时间！还有小青岛的黄昏超好看，非常建议来青岛的朋友们过来看看，性价比超高！,5.0,2021/03/05,0
12,风景太美了 非常适合拍照,5.0,2021/07/19,0
13,青岛地标之一，门票五元，环岛走十分钟吧,5.0,2021/06/29,1
14,真值得去，在堤坝上一边是大海一边是海军博物馆的展品，到了岛上还能远眺栈桥，吹吹海风，真的不错,5.0,2021/06/27,0
15,夏天了，想躲进海盐冰淇淋里，或者和晚风一起溜出窗去,5.0,2021/06/27,0
16,景色不错，门前也是良心价，有停车位,5.0,2021/05/16,1
17,很不错的地方,5.0,2021/06/27,0
18,小青岛说实话，来不来两可，青岛有很多类似的道，不过在这里可以看海军博物馆的军舰,3.0,2021/07/26,0
19,5块钱的门票简直超值，出了没有沙滩，比人挤人的海水浴场好太多了，拍照一样有礁石背向大海。不过6月底7月初不介意去青岛玩，全是浒苔，根本拍不出大海的那种照片。,5.0,2021/06/29,0
20,环岛一周都是观光栈道，从这里看青岛岸边的高楼也非常壮观。过了鲁迅公园后沿着琴屿路一直走到底就是小青岛,5.0,2021/06/22,0
21,站在岸边与水中绿地隔海相望，那里是小青岛。岛上郁郁葱葱，距离海岸720米，形似一把小提琴。也叫琴岛。,5.0,2021/05/25,0
22,"小青岛故称为“琴岛”，是青岛湾内的一座小岛，青岛这个城市的名称就来源于它。小青岛与陆地之间有长长的海堤相接，岛上矗立着德国人建于1898年的灯塔，是青岛的地标之一。
小青岛面积很小，半个多小时就能在岛上转一圈。在小青岛可以看到海军博物馆停靠在港湾的军舰，与陆地相连的琴屿路通向鲁迅公园，岛的北侧则与栈桥相望。
栈桥、海军博物馆、鲁迅公园、小青岛等都与青岛火车站离得很近，可以一并游览。",4.0,2021/05/08,0
23,有远观海军博物馆海上展厅全景的意外之喜,5.0,2021/07/17,0
24,网上订票再去换纸质票多此一举，而且很浪费时间！本来就游人如织还要排队换票。有纸质票需求的可以另外安排换票通道。如果没需纸质票需求的可以直接扫码进场！省时省力,5.0,2021/07/10,0
25,沿着堤坝走一走，还是值得的,5.0,2021/07/30,0
26,小青岛大坝上的风景太美了,5.0,2021/07/15,0
27,小公园不错，风景好,5.0,2021/07/24,0
28,非常好 好得很,5.0,2021/07/26,0
29,风景无限好啊，期待再去青岛！喜欢！,5.0,2021/07/11,0
30,景区面积不小，假期游客不少，景色还是不错的,3.0,2021/07/21,0
31,环境很好，绿树葱葱，碧海蓝天，门票也不贵，紧挨海军博物馆，远望有栈桥，大海浴场,5.0,2021/07/12,0
32,很美，平静的震撼,5.0,2021/06/27,0
33,去的时候人很少，天气有点热，可能是时间不对（早晨），没有想的那么惬意……位置还是不错，挨着鲁迅公园，走个10几分钟就到第一浴场了……,4.0,2021/07/09,0
34,景色宜人，空气清新，拍照能出大片的节奏，推荐！,5.0,2021/07/11,0
35,挺好的公园，能看到大海，里面可以摸鱼,4.0,2021/06/27,0
36,很美的地方啊蓝天白云大海红房顶,4.0,2021/05/29,0
37,小青岛景区外沿路的咖啡馆真是太棒了 景色美 心情舒畅,5.0,2021/04/02,1
38,青岛最美的道路之一 沿着海边走走停停 走累的到路旁的咖啡厅坐坐 欣赏美景,5.0,2021/03/11,0
39,完全值得去，感觉比栈桥好,5.0,2021/05/28,0
40,通往小青岛的路成了网红打卡地 还有最靠近海边的咖啡店,5.0,2021/02/26,0
41,小青岛上面就是个公园，收费公园而已，没啥玩的,3.0,2021/07/19,0
42,"一般都是溜达散步过去，疫情期间，没有夜景或者晨练时段，只在正常时间内开放，感觉还是蛮不方便的。

琴屿路，一条紧靠海边，蜿蜒进去的路，路的尽头就是小青岛公园，小景区其实景色还是很美的。

岛上有一个灯塔，还是在工作状态的",5.0,2020/10/11,0
43,小青岛之美让人心动的美景，大爱。,5.0,2021/04/12,0
44,没什么意思，一个很小的公园，20分钟就出来了，海旁边的礁石很多白色贝壳附着，密密麻麻的，我有密集恐惧症，看了特别痛苦，不是很推荐去，还要门票钱。,3.0,2021/06/27,0
45,小青岛最显眼的景致是最高处矗立的一座洁白的锥形灯塔，这是海上过往船只进出胶州湾的重要航标。,4.0,2021/02/16,0
46,"小青岛公园现在免费开放，不过要提前进行预约，小青岛与陆地之间是一条长长的大坝进行链接。小青岛景色超级美，眺望栈桥，海军博物馆
的战舰都非常之美，游人也很少，在小青岛的座椅上安静的坐会吹海风是最大的享受~",5.0,2020/09/30,0
