,评论,得分,时间,点赞
0,"青岛栈桥位于游人如织的青岛中山路南端，桥身从海岸探入如弯月般的青岛湾深处。桥身供游人参观并在此停靠旅游船，由此乘船可看海上青岛。

青岛栈桥始建于清光绪十八年(1892年)，是青岛最早的军事专用人工码头建筑，是青岛的重要标志性建筑物和著名风景游览点",5.0,2021/07/19,0
1,风景优美，空气清新，值得一去。,5.0,2021/08/05,0
2,青岛栈桥全长440米，宽8米，钢混结构。桥南端筑半圆形防波堤，堤内建有民族形式的两层八角楼，名“回澜阁”，游人伫立阁旁，欣赏层层巨浪涌来，“飞阁回澜”被誉为“青岛十景”之一。桥北沿岸，辟为“栈桥公园”，园内花木扶疏，青松碧草，并设有石椅供游人憩坐，观赏海天景色,4.0,2021/07/05,0
3,青岛栈桥是青岛海滨风景区的景点之一，是国务院于1982年首批公布的国家级风景名胜区，也是首批国家AAAA级旅游景区。青岛栈桥位于游人如织的青岛中山路南端，桥身从海岸探入如弯月般的青岛湾深处。桥身供游人参观并在此停靠旅游船，由此乘船可看海上青岛。,5.0,2020/07/04,3
4,景色不错，有趣好玩，总体超赞，性价比高，,5.0,2021/03/13,0
5,性价比高，景色不错，,5.0,2021/04/26,0
6,总体超赞，,5.0,2021/04/20,0
7,景色不错，,5.0,2021/04/03,0
8,景色不错，值得推荐，有趣好玩，体验很好，,4.4,2020/08/21,1
9,栈桥位于青岛中心城区的南部海滨，是一条440米长的海上长廊，从陆地延伸入海中。栈桥建于清光绪年间（1892年），已有百年历史，一直以来被视为青岛的象征。栈桥尽头的回澜阁，则是青岛近代历史的见证。,5.0,2020/07/09,1
10,景色还行，但栈桥的沙滩沙子很粗糙，硌脚，而且比较脏，玩水不适合在栈桥。,4.4,2020/08/02,1
11,有趣好玩，景色不错，,4.4,2020/08/09,1
12,很不错(*๓´╰╯`๓)♡,4.4,2020/08/23,1
13,景色不错，值得推荐，,4.4,2020/10/06,1
14,景色不错，体验很好，,4.4,2020/09/30,1
15,！，，，，，,4.4,2020/09/22,1
16,体验很好，,4.4,2020/10/13,1
17,风景不错。,4.4,2020/10/05,1
18,有趣好玩，,4.4,2020/10/02,1
19,体验很好，值得推荐，景色不错，,4.4,2020/09/28,0
20,值得推荐，,4.4,2020/09/17,1
21,青岛的栈桥是原来青岛市民非常喜欢去的好地方，因为那里青岛可以玩的地方不多，现在青岛可以去的地方多了，来这里的就大多数都是外地人了，现在的栈桥又住外加多了一个亭子，海边的风很好，也有很多海鸥在自由飞翔，只是栈桥上多了好多不知真假的越战老兵在卖艺或乞讨，有点不和谐。,4.4,2015/04/25,30
22,非常值得去了，历史遗迹，青岛标志,4.4,2019/12/13,0
23,体验很好，值得推荐，,4.4,2020/06/27,1
24,栈桥景色很美,4.4,2020/07/14,1
25,索道带老人坐的看看很方便,4.4,2020/08/13,0
26,"栈桥，位于山东省胶东半岛的海滨之城——青岛市！火车站出门便可到达栈桥。很多公交车直接通达栈桥，交通的便捷度几乎毫无悬念！
沿着栈桥步行，简直就是一种享受呀！
蓝色的天空、红色的砖瓦房子、现代化的高楼大厦、碧蓝的大海。这些景物无不充斥着浪漫与欢快的情感元素！
沿着大海走一圈，真心的说很值得。
在这里，有很多众生解暑的天然免费浴场、有异国风光的欧式建筑的房屋、有成双成对的情侣在这里见证爱情的神圣与浪漫、有红色的石头与蓝色的大海组合成的画卷、有夕阳西下美、有小资般节奏的生活意味！
在这里我亲自感受到了夕阳与大海的美、品尝到清澈见底的海水、目视到栈桥夜色的斑斓与星辉。
因此，我把双手与双脚放入大海，让我与大海合体吧！我就是大海，大海就是我。有我、有海，无我无海。这大概就是佛家经常提到的一种生活禅吧？
我要要用相机记录这些美。
我也要把我的名字“山野幽居”刻入大海沙滩上，见证我确实来过此地！
见证着，我确实曾经与青岛合体过，与青岛的大海合体过！
美哉，美宅！妙哉，妙哉！",4.4,2014/10/27,3
27,前海栈桥刚刚修复完工.继续承载着它的历史使命.晴天时她会清晰.阴天时她会在大雾的笼罩之下.如仙境一样的时而清晰.时而朦胧.夜晚在华灯初上时她又会绚丽多彩的展现在你的面前.,4.4,2014/06/08,5
28,风景挺漂亮，适合情侣或者亲子游,4.4,2016/06/07,0
29,栈桥人流量挺大的，但是没多大意思，沿路全部都是唱歌，写毛笔字乞讨的，严重影响景点形象，建议有关部门能考虑改进。,4.4,2015/08/27,0
30,栈桥就在火车站旁，走几分钟就到了，那边旅游的人很多，从远处看真的很美。,4.4,2015/07/06,0
31,青岛的海浪太大，不能下水玩，只能看。空气是真的好，蓝天白云碧空如洗。,4.4,2018/09/08,0
32,栈桥很棒，尤其是晚上的夜景很漂亮。去栈桥的地下通道里有很多地道的小吃，有各种各样的海鲜。栈桥两旁有很多浅水石礁，很多人在这捉螃蟹,4.4,2018/04/11,3
33,"睡觉睡一半喉咙疼
睡觉睡一半一个雷轰隆隆
哈哈哈
感觉自己黑眼圈比眼睛还大个
更一个青岛日常
回家了回家了要",4.4,2017/08/07,0
34,栈桥风景是不错的 我们去的早人还不多 但是 那附近啊真的是好多人宣称什么大船啊 沿途可以看到什么风景啊 真的不要上当 亲身经历！两层的船很破 而且就是海上小绕一圈 停在海中间各种宣传拍照 然后就回岸了 超级坑,4.4,2017/05/29,4
35,青岛非常好的一处代表性的景点，现在还免费开放，每天还有免费的跳水表演，包括冬天，非常值得一去的景点。靠近火车站和老商业区中山路。,4.4,2016/10/27,3
36,晚上去看夜景比较漂亮，免票的。照照相，吹吹海风，不远处还有艘军舰。然后可以去劈柴院吃饭，有两站地的距离吧，走走逛逛的过去挺好的。,4.4,2016/09/07,3
37,栈桥不愧是青岛必去的景点之一，强烈推荐大家从火车站下去就先来栈桥这里感受一下青岛的海。两边有礁石，应该是有小螃蟹的，但是因为游人太多，不是那么好抓。,4.4,2016/07/16,2
38,栈桥是青岛的标志。深入到海中一百多米，终点就是回澜阁。冬季里这里有很多海鸥飞舞，海水湛蓝，不远处就是青岛最繁华的市中心，高楼林立。青岛火车站也是典型的德国风格建筑，距离栈桥只有500米。这里一到节假日栈桥上全都是人。,4.4,2017/09/19,0
39,"青岛栈桥是青岛海滨风景区的景点之一，是国务院1982年首批公布的国家级风景名胜区，也是首批4A级国家旅游区。
青岛栈桥位于游人如织的中山路南端，桥身从海岸探入弯月般的青岛湾深处。桥身供游人参观并停靠旅游船，由此乘船可看海上青岛。
青岛栈桥始建于清光绪十八年(1892年)，是青岛最早的军事专用人工码头建筑，现在是青岛的重要标志性建筑物和著名风景游览点。
青岛栈桥全长440米，宽8米，钢混结构。桥南端筑半圆形防波堤，堤内建有民族形式的两层八角楼，名“回澜阁”，游人伫立阁旁，欣赏层层巨浪涌来，“飞阁回澜”被誉为“青岛十景”之一。桥北沿岸，辟为“栈桥公园”，园内花木扶疏，青松碧草，并设有石椅供游人憩坐，观赏海天景色。",4.4,2017/04/16,0
40,栈桥很美，一望无际的大海，可惜青岛的海经常受自然因素所影响，会出现大堆的浒苔，即便青岛政府花了很多功夫清理，但仍然存留很多。海边有很多小螃蟹，有很多小朋友拿着小桶去装，很有意思。岩石上有很多小虫，不建议游客坐在岩石上面拍照。,4.4,2014/12/08,0
41,栈桥就在青岛火车站附近，是青岛的标志。深入到海中一百多米，很美的，从海边延伸到海里，很长的一座桥，终点就是回澜阁。在回澜阁可以看见小青岛上白色的灯塔，还有高楼林立、繁华的市中心。,4.4,2017/11/25,0
