,评论,得分,时间,点赞
0,景色不错，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。,5.0,2021/02/27,0
1,总体超赞，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。,5.0,2021/02/27,0
2,性价比高，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。,5.0,2021/02/27,0
3,有趣好玩，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。,5.0,2021/02/25,0
4,景色不错，总体超赞，性价比高，有趣好玩，,5.0,2021/06/05,0
5,值得推荐，景色不错，体验很好，有趣好玩，,5.0,2020/10/09,1
6,好好好好好啊,5.0,2020/01/11,0
7,琅琊台三面环海，西面接陆，因山形如台，在琅琊，故名琅琊台。琅琊台史称“海上仙台，四时福地”，是四时文化的发源地，同时也是二十四节气产生的重要根源。《史记·封禅书》记载，西周初期，姜子牙把季节之神四时主封在了琅琊台，这里成为天下四时的确立地，中国古代四时主的主祭场所。古人以琅琊台为中心，观测星象，分出春秋二分，夏冬两至，分时计岁。琅琊台也成为中国最古老的观象台，发布节气令，祈福四时。,4.0,2021/05/24,4
8,西海岸新区真的不错呀，美的风景美的家园，随处都是小公园，散步相当于逛逛公园了，怎一个爽字了得？美了人心醉了眼珠的地方，怎不爱？,5.0,2021/04/02,2
9,黄海之滨，西海岸海边之美，一望无际的美，心情舒畅的美，遐想的美，风景无边蓝黄之美，来这里走走转转真的很美，不想离开的感觉！,5.0,2021/03/04,1
10,文化，景色不错，游人少，周边配套有待提高！,4.0,2021/08/04,0
11,值得一去的景点,5.0,2021/08/15,0
12,记得童年时就去玩的地方。胶南本地人玩，本地的风景区，经典又有历史。带老人和孩子玩玩挺好。碰上免费进入，更值得一去。我推荐！,5.0,2021/05/11,1
13,挺好的，空气新鲜,5.0,2021/07/09,0
14,不错(*๓´╰╯`๓)♡，风景很美，心旷神怡,5.0,2021/02/16,0
15,有趣好玩，景色不错，性价比高，总体超赞，真心不错，指的推荐，。,5.0,2021/02/22,0
16,有历史人文文化景观，推荐2.5小时游玩,4.0,2021/02/24,0
17,很有文华底蕴的游玩景点，值得一去,5.0,2021/04/05,0
18,山东的景点就是好,5.0,2021/03/26,0
19,一般般而已,4.0,2021/03/30,1
20,"登琅琊台
昔慕东海仙山，今登琅琊古台，
大王雄风犹存，浩荡两千余载。
功业是非谁说，威名宇内海外，
思今追昔感慨，但求人生一快。",5.0,2020/05/03,0
21,现在免费，但是兵马俑和陈列馆不开，海边景色还可以，夏天去应该很好景色一般，,3.0,2021/02/17,0
22,免费景点很划算，原来要55元的。电瓶车到山顶20元，总高188米，就算步行也2小时搞定。景区很一般，专门前来大可不必了。,4.0,2020/09/19,1
23,实地感受秦皇当年下令徐福率二百童男女出海的场景，好地方好风景。下午去的，游人不多，或许是季节的原因吧，这倒让我们放慢脚步，静静地感受那份宁静和历史的厚重。336级台阶让我攀得腿酸，陡峭的御梯让我自上而下看得腿软，放眼海边那寂静的龙湾在不停地召唤我前行。,4.0,2017/05/03,17
24,带着孩子去户外走走，还是值得一去的。携程网上订票半价，现场买票要五十呢，携程真不错。老人孩子免费，山路好走，山景海景尽收眼底，不错不错😊,5.0,2020/04/04,0
25,周一去的，景区人很少，网上预约的，门票免费，服务人员态度好，热情，有问必答，和当地的精神文明建设有极大的关系，民风淳朴，景区环境一流，空气清新，特别适合散步悠闲式游玩方式，喜欢看海的朋友一大乐趣，周围渔码头的海鲜便宜，但是要懂行，会讲价。没有强买强卖的现象。,5.0,2020/10/12,0
26,"景色还可以，快十二月份去的，我觉得应该夏天秋天去合适些。旁边就是码头⛵️买海鲜什么的都很方便。
总体来说还是挺好的，景区没有吃饭的地方，要去码头或者村子里",5.0,2020/11/29,1
