,评论,得分,时间,点赞,回复
0,不错,5.0,2021/8/1,0,0
1,很浪漫,5.0,2021/7/4,0,0
2,值得一去！！！！,5.0,2021/6/30,0,0
3,【环境】,5.0,2021/6/27,0,0
4,很好，很满意！,5.0,2021/6/24,0,0
5,很好看啊,4.0,2021/5/4,0,0
6,还行吧,4.0,2021/5/31,0,0
7,挺不错，一直没有来终于跟侄女来了一次。,4.0,2021/4/28,0,0
8,适合情侣体验,4.0,2021/4/2,0,0
9,「琴岛之眼摩天轮」,5.0,2021/3/28,0,0
10,风景独好，,5.0,2021/3/20,0,0
11,还可以的了，感觉挺舒服哈哈，价格有点高,3.0,2021/3/13,0,0
12,去的时候下雨没什么人还行吧可以去看看,2.0,2021/3/15,0,0
13,浪漫 喜欢  还会去坐,5.0,2021/3/19,0,0
14,"【环境】
【交通】
【项目】
【餐饮】都非常不错",5.0,2021/3/15,0,0
15,"【环境】安逸舒适，适合看夜景，在最高点看华灯初上，别有一番滋味
【项目】最好是四五个人一起，不然就要和陌生人凑数进一个小格子了。转一圈的时间刚好十三分十四秒，寓意很好~~
【餐饮】周围有商场，吃喝购物方便",4.0,2020/12/8,0,0
16,还不错，风景还可以，去的第二次了,3.0,2021/3/15,0,0
17,不好玩，排了很长时间的队伍，就看了10多分钟，还花了那么多钱，最后我和男朋友也没有一生一世，最后也分手了啊唉😔！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！气死我了！！！！！！！！！,1.0,2021/2/25,4,1
18,天气不是很好 所以有点潮湿 感觉没有很好 不是晚上,3.0,2021/3/9,0,0
19,等了好久才能坐上，天气好的时候可以试一试。,3.0,2021/3/8,0,0
20,还不错哈，晚上夜景很好，来呀来呀来呀来呀,3.0,2021/3/12,0,0
21,设施很好，情侣去很适合,4.0,2021/2/10,0,0
22,挺好看的,4.0,2021/1/7,0,0
23,有点恐高，不过推荐的体验,4.0,2020/11/24,0,0
24,路上慢点开始九点半到哪了就是吧还是电影院里面对面李白吧！你好像你一样子吧？你们小区咋了就是拖鞋女生太多了就是正常点赞吧？你在哪里了都要掉头发了没过去逛街吧！你要是觉得不好看看吧差不多吧？你们食堂了呀哈哈哈哈哈嗝？你好像比较喜欢乐颂词穷死了算了一下你们领导游,3.0,2020/8/26,0,0
25,就是小了点   不够高    高点 大点就好了,3.0,2020/11/21,0,0
26,白天看上去还很普通，晚上摩天轮上面的灯光闪闪发亮，很漂亮。很适合情侣，或者年轻的爸妈妈带孩子去玩。,3.0,2020/11/6,0,0
27,还好吧，氛围一般般，总体来说还可以吧,2.0,2020/11/3,0,0
28,果然坐了就分手…真准…,5.0,2020/11/24,0,0
29,一年了才敢回头来评论,5.0,2020/11/23,0,0
30,可惜是白天去的，要是没有晚上应该很好看，推荐情侣一起去,5.0,2020/11/18,0,0
31,没有想象中浪漫吧，俯视风景也一般。,3.0,2020/10/3,0,0
32,太模糊一点儿都看不清。再也不会去了。。。。。。。。。。。。。。,1.0,2020/11/21,0,0
33,一般不值这个钱！！！！！！！！！！！,2.0,2020/10/4,0,0
34,很方便,5.0,2020/10/6,0,0
35,不错的记忆，很好玩,5.0,2020/8/27,0,0
36,一如既往的好，强烈推荐！,5.0,2020/8/22,0,0
37,值得一坐,5.0,2020/8/15,0,0
38,挺好玩的,4.0,2020/7/14,0,0
39,"【环境】
【交通】
【项目】
【餐饮】",3.0,2020/7/9,0,0
40,很刺激，就是有些害怕,5.0,2020/6/18,0,0
41,"【环境】
【交通】
【项目】
【餐饮】
【餐饮】
【项目】
【交通】
【环境】",5.0,2020/6/8,0,0
42,人很少 有点恐高,5.0,2020/4/18,0,0
43,挺不错的呀，值得去玩。,5.0,2020/5/11,0,0
44,挺好挺好,4.0,2020/3/28,0,0
45,13分14秒,4.0,2019/11/20,0,0
46,好漂亮，值得一看,4.0,2019/10/4,0,0
47,说实话，外面看着不错，不值这个价,2.0,2019/10/7,0,0
48,非常完美,4.0,2019/10/5,0,0
49,非常满意,5.0,2019/10/4,0,0
50,一圈是13分14秒，寓意一生一世,4.0,2019/8/14,0,0
51,挺好的，孩子很喜欢。,5.0,2019/8/5,0,0
52,(｡•ˇ‸ˇ•｡)(｡•ˇ‸ˇ•｡)(｡•ˇ‸ˇ•｡),3.0,2019/7/1,0,0
53,看看风景挺好的,5.0,2019/6/8,0,0
54,很舒服,5.0,2019/1/24,0,0
55,就是时间短了,4.0,2018/11/4,0,0
56,有点贵,5.0,2018/11/15,0,0
57,验票很快，物美价廉,5.0,2018/11/3,0,0
58,不错，不虚此行，收获满满。就是地下停车场转的时间太长，找不到出口。,5.0,2018/9/12,0,0
59,挺好哒，夜景很漂亮，还有优惠卷,4.0,2018/9/4,1,0
60,还好吧，没什么特别的感觉，当天和男朋友吵架，啥美景也没看。,3.0,2018/10/14,0,0
61,时间很浪漫 💕我恐高 孩子不恐高，敏敏特棒,4.0,2018/10/1,0,0
62,一家三口，独自给我们一个车厢。很人性化，价格不贵，惊险刺激又美丽。,4.0,2018/8/25,0,0
63,不怎么滴  不怎么好 很无聊  就这样吧,1.0,2018/10/21,0,0
64,和女朋友去的，很不错的选择，强烈推荐一下,5.0,2018/10/18,0,0
65,十五分钟，非常快，美团买便宜五元。可以感受下，最好晚上坐，有灯光,2.0,2018/10/13,0,0
66,"地方挺大，座椅太少，垃圾桶太少～
50元可以玩八个项目，还是挺划算的，毕竟大热天的享受这空调，孩子玩的欢，一个孩子一张票，玩半天没问题～
那些个电动的收费的游乐机，基本都是一分钟左右，最多的两分钟，能多转两圈，实在不够大气",4.0,2018/8/16,0,0
67,摩天轮挺好的，就是时间有点短，,3.0,2018/10/6,0,0
68,非常棒的体验,5.0,2018/10/4,0,0
69,很好，就是时间太短了,5.0,2018/9/13,0,0
70,美美哒,5.0,2018/8/2,0,0
71,很美，可以看到夜景,4.0,2018/7/23,0,0
72,不错的可以3风景可美了！！！,5.0,2018/7/27,0,0
73,还可以 就是夜景不太好 但是也推荐去,5.0,2018/7/21,0,0
74,还不错吧，里面买，50，这里买45，，，45元一圈，,5.0,2018/7/6,0,0
75,孩子喜欢，好浪漫的摩天轮，晚上坐，更漂亮,4.0,2018/7/17,0,0
76,特别舒缓，适合老人孩子一起玩,5.0,2018/7/21,0,0
77,其实没啥好玩的，主要是为了孩子！,3.0,2018/7/20,0,0
78,设施非常不错，高空的黄岛非常美，强烈推荐哦。,5.0,2018/6/18,0,0
79,服务热情，主动帮助省钱。接待的人尤其友好,4.0,2018/7/17,0,0
80,孩子很高兴，里面的设施全是为孩子准备的，只要孩子高兴什么都好说,4.0,2018/7/14,0,0
81,不错，和宝宝第一次坐,4.0,2018/7/21,0,0
82,从六点等到七点多天黑黑顶着大黑风还没有看网图来的痛快😀回去都找不到回市里的车😂,3.0,2018/5/22,0,2
83,外壁很脏了都不擦擦，根本看不清任何东西,2.0,2018/7/13,0,0
84,没什么特别的，就跟普通摩天轮一样，价格还贵,3.0,2018/7/9,0,0
85,摩天轮里面太热。其他还都比较好,3.0,2018/7/12,0,0
86,一般吧，晚点就不能买票检票了，上次去就不能检票了，只能回家,2.0,2018/7/10,0,0
87,没啥感觉，十来分钟一圈完了，就下来了，,2.0,2018/7/13,0,0
88,体验一下青岛的摩天轮，团购的不用换票，直接在入口排队，人工扫码进入，孩子很期待，那天有雾，最高处看的不远，却别有一番风景。,3.0,2018/5/2,1,0
89,坐着很舒服，看着海很棒，就是时间感觉有点短,4.0,2018/7/9,0,0
90,非常大，夜景也很好看，就是需要排队😂,5.0,2018/6/25,0,0
91,超级幸福感觉！超漂亮！值得推荐,5.0,2018/7/11,0,0
92,很不错，干净，服务态度也很好，非常不错哦,5.0,2018/5/1,0,0
93,还可以，恐高勿入😂,4.0,2018/6/25,0,0
94,环境很好 海边风景很棒 晚上和白天不一样的感觉哦 值得一去,5.0,2018/5/18,2,0
95,一般般的啦,4.0,2018/6/23,0,0
96,第二次坐了，有点快，但是很好玩,5.0,2018/6/23,0,0
97,就十几分钟完事没感觉下来了，没啥好座的，儿子非要去没办法,2.0,2018/6/14,0,0
98,"【交通】停车方便快捷
【项目】端午节人不太多不用排队等候",5.0,2018/6/17,0,0
99,不错，带孩子去玩的。,5.0,2018/6/24,0,0
100,很不错，有机会可以试试！匀速行驶，不会害怕头晕,5.0,2018/6/19,0,1
101,很好，带闺女去做的，可以看到美美的景色，也不快，很安全,5.0,2018/6/18,0,0
102,很好，不错，夜景很美,5.0,2018/5/1,0,0
103,非常好，强烈推荐～,5.0,2018/5/3,0,0
104,特别棒,5.0,2018/4/21,0,0
105,第一次坐摩天轮，好兴奋啊。最高点的景色很美，好好看。,3.0,2018/3/18,0,0
106,没什么特色。哄小孩的东西。不适合成年人游玩,2.0,2018/3/18,0,0
107,坐起来没啥意思，就是寓意好吧,4.0,2018/3/20,0,0
108,第一次带孩子坐的，我自己有点恐高，孩子反倒是很胆大，服务态度好，不错,4.0,2018/2/22,0,0
109,地理位置很不错，停车很方便，周围是大型商场，吃喝玩乐购一应俱全。整体来说还不错，天高海宽，风景很美，如果没有雾霾更好啦。,4.0,2018/1/14,0,0
110,感觉还可以吧。看的地方挺远的。,3.0,2018/3/20,0,0
111,还不错，晚上景色很好,5.0,2018/2/19,0,0
112,去的时候，天气比较冷啦，没那么多人，但是还不错,3.0,2018/3/13,0,0
113,价格贵，没什么好玩的。就是为了满足孩子的好奇心。,2.0,2018/3/12,0,0
114,没意思不好玩,5.0,2017/12/18,0,0
115,看着不错，坐了圈没啥感觉，价格不便宜!,5.0,2017/10/2,1,0
116,坐了不知道多少次了 还是晚上坐比较漂亮 变幻的图案 美轮美奂 坐在摩天轮里可以看大黄岛的夜景 下了摩天轮挂个锁 逛逛奥乐购和唐岛湾 十分惬意,5.0,2017/10/18,0,0
117,晚上上去的，海上一片漆黑。感觉摩天轮更适合在下面拍照。,5.0,2017/11/7,0,0
