,评论,得分,时间,点赞,回复
0,不错接着期待还带孩子来,5.0,2020/4/10,0,0
1,好,5.0,2018/7/15,0,0
2,方便快捷，实惠,5.0,2018/5/6,0,1
3,还要押金十块。。对象不知道押金的事，洗完出门的时候看前面女的把钥匙给门口大姨，她也把钥匙给门口的大姨了，大姨也不说拿着钥匙去对面还要退押金，就这么收下了。这一会就挣了20，我想问一天挣这种钱能挣不少吧？,5.0,2016/9/5,18,0
4,服务不好！环境不好！洗澡水太冷！,1.0,2016/8/6,0,0
5,99号小伙子，手法很好，超酸爽。过瘾，支持！,5.0,2021/6/1,0,0
6,强烈推荐。多运动 多睡觉 少吃零食 后脑勺不要冒泡 [笑哈哈]嗯😊我最喜欢三月的风，四月的雨，不落的太阳和最好的你从今以后我只能称呼你为您了，因为，你在我心上。甜有100种方式，吃糖，蛋糕，还有每天98次的想你。,5.0,2021/2/24,0,0
7,其实已经过了很久了美团还是让评价，很不错哟，跟闺蜜玩得很开心，是个好地方，就是要做好防晒哟，推荐～,4.0,2021/7/25,0,0
8,很不错,5.0,2021/8/5,0,0
9,很好！不怎么坑人，有机会还会去的,5.0,2021/6/26,0,0
10,蛮好的，第一次看海，比较激动，，，，,3.0,2021/6/4,0,0
11,喜欢看海所以才来。景色非常漂亮,4.0,2021/6/4,0,0
12,好玩，去的时候下午了，更是别有风味。两人开发了沙滩挖河游乐项目，除了海水有点脏，其他的都蛮好的，适合大人小孩情侣同事去玩。青岛确实是蛮不错的地方，环境好经济也不错，交通也好，旅游地点也休闲，适合定居,5.0,2021/4/10,0,0
13,青岛最著名的景点之一，一定要赤脚走在沙滩上，感受海风的气息😛,5.0,2021/4/14,0,0
14,还不错了，人也挺多的，希望有机会还去,3.0,2021/4/20,0,0
15,很好很强大,5.0,2021/2/22,0,0
16,环境很好 水很干净 孩子玩的很开心,5.0,2021/2/7,0,0
17,海水浴场很热闹，很好玩，风景也很好，服务也很贴心,5.0,2021/1/13,0,0
18,假期适合孩子游玩，环境不错，很凉快！,3.0,2021/1/11,0,0
19,有点小贵。冲澡的地方也脏兮兮哎,2.0,2021/1/11,0,0
20,比较脏乱 贵 感觉在海边就这么贵 爱来不来的意思,2.0,2021/1/2,0,0
21,"一般吧
其实对于青岛的沙滩本来也没报太大希望。这次去了之后倒也不觉得失望。沙子确实很一般，有些地方我都没让孩子拖鞋，怕扎到脚。孩子随便玩玩沙子还是可以的因为是冬天，海边一直都吹着寒风；虽然是星期天，可是游人不算太多。沙滩挺干净。这海水浴场是迎八大关的一个海滩。如果想静静地在沙滩散步的话，这是一个不错的选择。",2.0,2020/10/3,0,0
22,好好好,4.0,2020/12/22,0,0
23,美美哒,4.0,2020/12/12,0,0
24,凉水 破地板   毛巾卖的贵  没有洗护用品,1.0,2020/11/14,0,0
25,还可以吧，人挺多的，推荐去看看,3.0,2020/11/15,0,0
26,整天还可以，没有想象中的那么好。,3.0,2020/11/11,0,0
27,要的麻辣和番茄，环境优雅，口味超棒，孩子喜欢番茄🍅的，米饭加了玉米粒棒，现磨的豆浆口感真好，要了两大份，减肥推辞，强烈推荐👍👍👍👍👍👍,5.0,2020/10/18,0,0
28,嘿嘿,5.0,2020/11/11,0,0
29,在美团买的票，或多或少有些优惠。没想到现在的更衣室变成这样了，还是不错的，储物柜子不错，就是环境还是有些脏，里面地面和洗手盆，沙子比较多，最重要一点，水都是凉的，直接没法洗呀，感觉简直是透心凉，心飞扬，一盆冷水浇头上……,3.0,2020/8/14,2,0
30,垃圾垃圾垃圾，一股尿骚味就不说了，在海滩上玩完之后想上来冲一下，结果更衣室水比海水都凉，不冲又都是沙子，冲了绝对感冒，冰凉冰凉的水！！,1.0,2020/10/13,0,0
31,海水太浑浊，全是泡沫，不干净，沙子也粗糙,2.0,2020/10/31,0,0
32,辣鸡中的战斗机，没有之一，fuck，草,1.0,2020/11/3,0,0
33,"好玩好玩。
【环境】很不错。下次还来",3.0,2020/11/3,0,0
34,搞不懂为什么扫这个，四处都能进啊，当然进去就是浴场吗，也没什么特别的,3.0,2020/10/27,0,0
35,卫生间太脏了，别的地方还可以，淋浴要是在优惠些会更好了。,3.0,2020/10/28,0,0
36,孩子玩的很开心  也很干净，天气还不算很热,3.0,2020/10/28,0,0
37,还可以，网上订票比现场平宜了。,3.0,2020/10/27,0,0
38,人多，水质不好。还是去三浴吧，喜欢三浴,3.0,2020/10/18,0,0
39,性价比不高，本地人感觉可以自己开车去。,3.0,2020/10/18,0,0
40,去的时候天气很舒适    环境也挺不错,3.0,2020/10/15,0,0
41,除了水凉没别的毛病,4.0,2020/10/16,0,0
42,一个大人只能带一个孩子1米左右都不让带两个！出来玩不来这！去五四广场那边赶海都比这里好！服务治疗差！人特别多！,1.0,2020/8/16,0,0
43,暑期人太多了，其他挺好的,4.0,2020/10/3,0,0
44,人很多，但是孩子们很嗨皮，冲浪🏄🏻很爽,3.0,2020/8/6,0,0
45,服务人员态度很差，淋浴室里都是凉水,2.0,2020/9/19,0,0
46,环境不错。如果有温水会更好些。自动出水时，水量太大，没有花洒，淋在身上有些疼，孩子受不了,3.0,2020/9/6,0,0
47,还是世界上就是把你手机上就是看我那么笨,2.0,2020/9/11,0,0
48,海水比较干净，风景比较美，值得去,3.0,2020/9/10,0,0
49,在小鱼山下面的水浴场，蛮多人的也蛮凉快的靠近海边,4.0,2020/8/18,0,2
50,还可以，玩的也多，很开心今天谢谢有这么好的一项我男友也很爱我,3.0,2020/8/19,0,0
51,和同学一起来玩的，可开心了，就是景区东西卖的比较贵。,4.0,2020/9/5,0,0
52,淋浴的感应不太灵敏，水太大了喷到身上很疼，其他还行,3.0,2020/9/2,0,0
53,只能说一般，在门口的小哥拦下我们说登记，登完记下水游个泳上去买瓶水头发还没干，还让我们登记，也是醉了，关键是态度还不好,2.0,2020/8/19,0,0
54,真的特别棒，推荐大家都去看看，很有意思！,5.0,2020/9/1,0,0
55,简陋，凉水，还30，不如换好衣服从酒店直接去。,1.0,2020/8/26,0,0
56,其实就是冲澡用，效果一般般，花洒不好用,3.0,2020/8/29,0,0
57,30块钱一个储物柜，可以进去洗澡 水是凉的，勉强冲一下。,3.0,2020/8/25,0,0
58,第一海水浴场的浪比较小，可以躺在上面随波逐流，很舒服，金沙滩的海水干净，但是不舒服哈哈哈哈,5.0,2020/8/15,0,0
59,垃圾可垃圾了，环境可差了全是泥,1.0,2020/8/28,0,0
60,还可以，孩子很喜欢，玩的比较尽兴,3.0,2020/8/26,0,0
61,水太凉了，环境还可以，服务态度也不错,3.0,2020/8/24,0,0
62,冲水要钱  矿泉水死贵  连海边上的椅子都是收费的真的没法在说了,1.0,2020/8/18,0,0
63,很舒服 好棒  环境也很好   下回再去价格合理,4.0,2020/8/19,0,0
64,玩的还可以，就是没有免费冲脚的地方，好多浴场都有免费冲洗的场所。,3.0,2020/8/15,0,0
65,涨价了，服务跟不上……就存个包冲个凉水，30元……,2.0,2020/8/20,0,0
66,箱子陈旧，设施粗糙。hello and do the boys for your,2.0,2020/8/20,0,0
67,30块钱的更衣室费用，进去只有冷水。,2.0,2020/8/17,0,0
68,注意防晒。带好毛巾衣物,4.0,2020/8/19,0,0
69,还不错,5.0,2020/8/19,0,0
70,还不错，环境一般，每个浴室有隔板就好了！,3.0,2020/8/10,0,0
71,可以是可以，就是有一点，老龄化太严重了，年轻美女几乎看不到亮点，国内的人还是不够开放，,3.0,2020/8/2,0,0
