,评论,得分,时间,点赞
0,为了迎接奥运会帆船比赛和打造“帆船之都”，青岛市人民政府把北海船厂整体搬迁到西海岸新区的海西湾，并将国际帆船中心建成青岛市独具海上运动特色的建筑区域，体现了“绿色奥运、科技奥运、人文奥运”的理念。,5.0,2021/07/07,0
1,景色不错，,5.0,2021/06/22,0
2,有趣好玩，景色不错，体验很好，值得推荐，,5.0,2020/09/06,0
3,青岛国际奥帆中心，坐落于青岛市东部新区浮山湾畔，北海船厂原址，是2008年第29届北京奥运会帆船项目的举办地。这里除了能回味当年奥运会的激情氛围，这里也是一个不错的摄影取景地，强烈建议快要落日的时候去，真的非常漂亮。,4.4,2019/05/08,4
4,景色不错，体验很好，值得推荐，,4.4,2020/10/12,0
5,体验很好，值得推荐，有趣好玩，,4.4,2020/09/03,0
6,非常非常的不错,4.4,2020/09/20,0
7,体验很好，,4.4,2020/10/07,0
8,不错的地方,4.4,2020/10/06,0
9,青岛奥帆中心座落在青岛市东部新区浮山湾畔，2008年第29届奥运会和13届残奥会帆船比赛就是在这里举行的。奥帆中心里停满了各种类型的帆船⛵️和游艇，在碧海蓝天的映衬下，非常漂亮！在这里，有帆船、游艇、潜水等游乐项目，青岛海水的水质稍差，潜水不太推荐，乘帆出海的感觉很棒！,4.4,2018/02/27,12
10,真的很有意思，很愉快的体验，适合亲子，又可以学习自己操作，又可以彩拍。一家人玩的很开心，虽然价格有点贵，但是很值！,4.4,2019/09/06,0
11,景色不错，体验很好，,4.4,2020/08/23,0
12,青岛奥林匹克帆船中心就是青岛国际帆船中心。青岛奥林匹克帆船中心青岛市东部新区浮山湾畔，北海船厂原址，毗邻五四广场和东海路，市内的著名风景点“燕岛秋潮”位于基地内燕儿岛山的东南角，2008年第29届奥运会和13届残奥会帆船比赛就是在这里举行的。,4.4,2017/08/15,2
13,原来还可以开车进去直接停车在门口，表演比起以前户外的升级了，结束后还可以和演员**姐们合影，太棒啦,4.4,2019/01/25,0
14,离五四广场很近，他们两个就挨着，为迎接奥运会帆船比赛和打造“帆船之都”而建的。感觉青岛的景点都是沿着一条路一直走，景点都在一条线上，特别好，下了火车站对面就是栈桥，沿着浴场往前走就是五四广场和奥帆中心了，奥帆建的挺大气国际化的，很多人在那里取景拍照，我们是十一去的，所以人真的超多，想拍出一张好点的照片真心不容易，奥帆中心是开放式的，没有门票，如果坐船要买船票。,4.4,2014/07/10,1
15,青岛变化很大。 做游船看夜景，感触颇多。晚上奥帆广场游人如织。 携程取票最好在7点20以后再去，去早了没有人。 现场直接买票的人可以先上船。不过不用着急。 因为，上船后，很多人会上甲板。靠窗的位置就空出来了。,4.4,2017/08/22,0
16,博纳多帆船很不错，我们去的时候因为选择这个船型的人很少，最后只有我们一家7人加上另一个游客。我们的赵船长技术很好，人也很热情，船总体很稳，有机会还想再体验一次！,4.4,2017/08/03,0
17,一个奥运帆船中心真的有如此的魅力，推荐大家一定要去,4.4,2015/08/31,0
18,青岛奥帆中心，是08年北京奥运会时候造的奥运帆船中心，五四广场就在这里的旁边，周围配套设施基本都跟上了，吹吹风看看海，还是不错的。,4.4,2014/05/04,0
19,青岛被称为“帆船之都”，到青岛自然要到奥帆中心转转。可惜这次去的时候，赶上有活动，进不去，只能远望。奥帆中心风景不错，和五四广场近海相望，附近还有步行道，适合休闲逛逛。,4.4,2020/01/23,0
20,挺刺激的，就是时间不长，10分钟吧，换票和上船不在地方，船长很热情，还帮我们订了豪华游艇，博纳多号，时间半小时，飘在海上很惬意。,4.4,2018/05/02,0
21,曾经的奥运赛场，如今向游客开放，不过除了看海景，也真没有什么别的意思了。码头上商业活动太多，叫卖声、招揽生意的，显得挺乱的。不过对于没来过海边的人来说，还是值得来一次。,4.4,2017/10/04,0
22,很高兴去奥帆中心坐了帆船，正好是傍晚看落日的时间，景色很美，白色的灯塔也很适合拍照，岸边还有很多帆船，有一些新人也在这里拍婚纱照,4.4,2017/08/30,0
23,好美。体验帆船推荐。还有奥运火炬。和家人一起去的,4.4,2015/03/29,0
24,不要错过奥帆中心，在这里，可以感受一个现代的青岛，一个走向世界的青岛，同时，还可以享受一个大海的沐浴，吹吹海风，聊聊天，很享受。,4.4,2014/06/05,0
25,据说不好停车，特意打车去的。到了以后发现，很早就停满了车。进入以后，地方不是很大，但是，非常值得一去参观。,4.4,2017/12/13,1
26,加了些钱进了小包房。条件不错。风景不错，但大部分是黑漆的海景，可能是包房的方向没选对。,4.4,2017/08/11,0
27,火炬那里还是比较好的，还有奥运会的感觉。旁边停泊这大大小小的船，风景不错。往里走是大黄鸭，可惜过不去。旁边的百货大楼值得一赞,4.4,2014/12/12,0
28,奥帆中心是一片很大的区域，这里有长长的沿海步道，沿着海边走走，或是靠在栏杆上呆呆地看海、赏夕阳，享受各种惬意。,4.4,2017/07/29,0
29,不错，要是有讲解就更好了，船很大，人不多，在这样高的船上观海景、看市景都很好，时间也是足足一小时,4.4,2015/06/29,0
30,非常好。大帆船。可以坐在船头两边的甲板两边。视野很好！,4.4,2017/07/17,2
31,"很不错,帆船还是有动力的,但是趣味性还是不错的。不想说了,40字真是坑爹，烦死了，烦死",4.4,2015/08/30,0
32,订票和取票都顺利！适合老人和小孩，比较稳！不像快艇。就当也出过海了！就是太阳晒得厉害。,4.4,2015/08/18,0
33,2008奥帆赛举办地，风景优美。,4.4,2016/11/20,0
34,海水很清，海风很凉，不错的，值得去,4.4,2017/07/30,0
35,天气晴朗是看小帆船，也可以租一艘,4.4,2016/11/17,0
36,很不错的地方，风景很美，孩子们玩的很开心又能学到很多知识，一次不错的旅行，值得推荐,4.4,2016/07/19,0
37,总体还不错，主要是景色不错，风和日丽视野开阔，海景漂亮，但帆船开不远，价格也很贵,4.4,2014/12/07,0
38,这样的天气，这样的大海，是无论什么样的烦恼，都会忘记的吧！,4.4,2014/03/25,1
39,"东京奥运会即将开始，虽然不能去现场看，那就来到曾经的奥运场馆，也算打一个卡拉
夕阳西下，水面波光倒影，十分的美轮美奂哦，现在这里虽然已经，不举行赛事，但是各式各样的游艇却更有风味，很有看点",5.0,2021/07/15,2
40,"只有0.1%的人知道青岛灯光秀最佳观测地点，他的位置不是在五四广场，而是在奥帆中心也是我心目中的上帝视角。

📌详细地址：说到奥帆⛵️中心大家应该都不陌生，2008年北京奥运会的帆船比赛，就是在这片海域进行的。2018年上合峰会的会场也在广场内，让世界看到了中国建设速度，还有美丽的海上🌊烟火和灯光🌃秀。

👍特色推荐：

1⃣️️五四广场是来青岛的游客必须打卡的地方，多次上各个平台的热搜。在灯光秀的带动下十分火爆。不过看灯光秀最佳的视角不是在那里。首先那里的人太多了，其次他离灯光秀过于近便。整体的效果没有那么好。🌃

2⃣️从五四广场沿着海边的木栈道继续往东走，就看到了2008年奥运会的大火炬。在火矩底下隔岸观灯塔和情人坝，没错我们的观测点就是情人坝，就是灯塔下的礁石。

3⃣️左侧是上合峰会的会场，有兴趣的朋友可以进去参观。右手边还有邮轮可以环浮山湾看看蓝蓝的大海。这里可是收费的哈，还是坐正规的商家比较放心。️从火炬到我们的观测点还是有一段距离的，有电瓶车和步行两种方式。推荐步行，可以下午的时候来看看夕阳，看看大海可以带你的爱人来大坝上，缓缓地走，慢慢地聊聊天。晚上一起看看灯光秀当然也可以吃个好吃的烤肉，喝青岛啤酒🍻。情人坝这里的店铺都重新装修了。个人感觉价格还是蛮合适的不是特别离谱的，在这里喝个下午茶或者吃晚饭。

4⃣️灯塔下的礁石我们来了，这里就是我们最佳观测点。可以看到整个的灯光秀，和五四广场隔海相望。视角简直就是上帝视角。️

📌实用tips：以往经验是夏天游客很多，来斑马🦓给你推荐的地方看灯光秀不会让你失望的。秋天，冬天想来的小伙伴注意咯，灯光秀的时间会缩短，不要因为没有安排好而错过。祝你们来青岛旅游愉快，觉得不错可以给你赞(((o(*▽*)o)))，也可以告诉更多的小伙伴。",5.0,2021/07/11,5
41,去奥帆中心广场是晚上去的，看夜景的地方，景色太美丽了，正好遇上台风烟花，去的那晚，没风也没雨 一直逛到很晚还不想走，夜景实在太美了，青岛必打卡景点。各个楼各种颜色图案变化让人看了心旷神怡，流连忘返。,5.0,2021/07/31,1
42,青岛必打卡景点，一个观日落和灯光秀的地方，情人坝就在这里，上面有一个白色的灯塔，非常浪漫的地方，港湾里停靠着白色的帆船和游艇，非常漂亮，还有各国国旗在这里迎风飘扬。,5.0,2021/07/06,3
43,"到青岛出差，所住宾馆的不远处就是著名的奥帆中心，早晚可以到此散步。
        奥帆中心全称为青岛奥林匹克帆船中心，位于山东省青岛市东部新区浮山湾畔，毗邻五四广场，2008年北京奥运会和第13届残奥会帆船比赛就是在这里举行的。这里的夜景很美。",4.0,2021/08/13,0
44,奥帆中心夜景更好看，在奥帆中心看对面五四广场的灯光秀太漂亮了，白天在奥帆中心转悠有好多要给游客照相的，说是10元四张，千万别相信最后没有百八十是走不了的，而且他们的照相水平实在不行。,4.0,2021/06/17,4
45,青岛的新地标，奥帆中心！晚上的奥帆中心在周边高楼大厦的灯光秀衬托下更显妖娆漂亮。旁边的酒吧街也是人气满满，坐在旁边喝杯青岛啤酒非常惬意！,5.0,2021/08/02,0
46,青岛帆船奥林匹克中心毗邻五四广场，整个港湾停满了帆船和游船，比较壮观，趁着傍晚，夜色降临，到这里走走，看看夜景，大海，配着灯光，船舶，高楼大厦，很是漂亮，适合在这里走走，发发呆，吹吹海风，来青岛不容错过…,5.0,2021/04/20,4
47,如果不乘坐船，不需要任何花费，是青岛免费必游景点，拍照打卡巨美。这个景区里面，还有：奥帆博物馆，情人坝，奥运火炬台，奥运五环，航海灯塔，等小景点。晚上看夜景非常漂亮。可以白天来看看，晚上再来看夜景。也可以下午四点来，逛到一会在这附近吃晚饭，然后晚上接着看夜景灯光秀。也可以在情人坝那里吃完饭，边吃饭，边看夜景。情人坝那里很多餐饮。,5.0,2021/05/12,3
48,"由奥帆中心发船到情人坝海域，环游浮山湾欣赏浮山湾城市巨幕带来城市灯光秀和全景奥帆中心。远眺上海合作组织主会场青岛国际会议中心,欣赏奥帆中心的夜景。",4.0,2021/05/17,1
