,评论,得分,时间,点赞,回复
0,非常满意,5.0,2021/7/31,0,1
1,很不错，挺好的。,4.0,2021/7/22,0,1
2,好,5.0,2021/7/18,0,1
3,挺好的,5.0,2021/7/16,0,1
4,非常好，,5.0,2021/7/15,0,1
5,不错,5.0,2021/5/27,0,1
6,很好,4.0,2021/7/4,0,1
7,好评！,5.0,2021/6/10,0,1
8,很漂亮,5.0,2021/6/22,0,1
9,挺好,4.0,2021/6/5,0,1
10,很美,5.0,2021/3/22,0,1
11,推荐,5.0,2021/4/22,0,1
12,好玩,4.0,2021/4/16,0,1
13,好好好,5.0,2021/4/9,0,1
14,可以,4.0,2021/1/16,0,1
15,很满意,5.0,2020/12/24,1,1
16,很好看,5.0,2020/11/27,0,1
17,非常棒,5.0,2020/12/29,0,0
18,还不错。。。,5.0,2020/12/18,0,1
19,"【环境】好
【交通】方便
【项目】多",3.0,2020/12/7,0,1
20,很不错！,4.0,2020/10/27,0,1
21,特别好,5.0,2020/10/23,0,1
22,挺好的，不错,4.0,2020/9/9,0,1
23,位于青岛旅游景点密集区，交通方便，离青岛站挺近的，也很好找，就在主马路上。分为南北两区，南区是海洋生物馆，更精彩一些。北区是淡水生物馆，主要是淡水的物种。虽然没拍几张图，但实际这里有非常多的海洋生物。活的，标本，干的，都有。有停车场，在马路北面。此景点左右两边是第一海水浴场和鲁迅公园，都挺近，都是免费景区，风景很棒。,5.0,2021/7/10,0,1
24,第一 是位置，很好找，挨着鲁迅公园旁边           第二 是价格，三馆通票150元，美团有优惠，比如学生和老年人，已经军人等                     第三 场馆面积很大，有介绍的，有海底世界，还有一天总共三次的表演，表演都在下午          第四 场馆没有平行花带，可以让你少走路，站在上面就可以看见头顶，需要注意安全            第五 出来的时候有纪念品馆，喜欢的可以买一点，比如珍珠首饰，还有一些小孩子和女孩子喜欢的海洋玩具,4.0,2021/6/10,0,1
25,环境好，位置好找，里边东西也挺多，就是不太好停车，建议打车或者地铁公交都行，毕竟市南那地方，带孩子去还是不错的，就是人多，夏天能热。。。后边不用看了，凑字数的。。。。。。。。。。。。。。。。。。。。。,5.0,2021/7/17,0,1
26,我儿地方反复出现了一个人的时候我就觉得自己是一个人的时候我也是个很喜欢的人和人和事物一样了。我是李克平路公交车上人了。我的朋友可以吗。我的朋友可以理解为我做什么的时候就会觉得自己是个好人。我们都会很喜欢这个节目,3.0,2021/7/15,0,1
27,我的方法籓vvvvv吃的太好喝了一个人吃东西吃不下去了。我的朋友是个很好看的人了？我在阿是生生世世都发广告了🪧，我的朋友是我的朋友们都是我的朋友可以理解我的朋友们都是我的朋友们都在这里了。我们都会很喜欢这个,4.0,2021/7/15,0,1
28,门票便宜，可以看到相对多的海洋生物，挺好的呀。,4.0,2021/7/23,0,1
29,很好的一次旅行，孩子很喜欢,5.0,2021/7/11,0,1
30,"水族馆很久没去过，体验后感觉比以前改进了很多，分有多个模块，趣味性增强
水母的种类挺多，配合灯光呈现出不同的效果，观赏鱼比较少。
海豹馆和以前有所不同，都变成大鱼缸方便观赏，非常喜欢，希望经常改进以后能够再体验不同的乐趣！",5.0,2021/6/14,0,1
31,哈哈哈哈哈时隔快一年来评论 总之就是必须要去！！虽然是免费的水族馆也有很多好看有趣的地方,5.0,2021/7/5,2,1
32,地方很大，就是几个馆之间提示不明显，可以安装几个大的提示牌在每个馆的出口处，至于展品是真的多，就是海底世界那个蓝紫光灯有些晃眼睛导致有一些鱼不仔细看就根本看不见，总的来说确实对的上这个“中国第一个水族馆”的名号，,4.0,2021/5/17,0,1
33,特别好，特别满意，和闺蜜很满意的一次旅行，我们下午时间仓促所以没能玩很长时间特别后悔，呢是拍照打卡的圣地啦！靠近大海和基地海洋馆环境好，周围也有特别多拍照打卡的地方，个人很推荐，快快去打卡吧啊啊啊啊啊啊啊啊,5.0,2021/6/6,0,1
34,“梦幻水母宫”展馆采用最新科技设计，带你体验前所未有的梦幻之旅！看着各种形态各异的展缸，可以探索海中精灵水母的奇妙生命历程；在高科技投影设备的帮助下，也可以加入互动游戏，与水母嬉戏，感受如同置身海底奇境。,5.0,2021/5/27,0,1
35,带爸爸妈妈旅游，正好碰上免门票活动，妈妈非常开心，环境非常不错，不过年代原因现在看来确实有点挤，国内第一家水族馆，什么都不用说了，满分体验。,5.0,2021/7/19,0,1
36,带家人一起去的，整体空间布局都很好，尤其是水族馆，各种活体海洋生物，在加上灯火辉煌，很漂亮，在疫情期间让我们的生活有了更好的乐趣,4.0,2021/6/7,0,1
37,青岛著名景点，重新装修后比以前的观赏性好了许多,4.0,2021/8/3,0,1
38,"非常可以。！！！还不错。！！！
和家人去的，！！！体验感还蛮好的。假期去的，人也蛮多的。！！！没去过的朋友可以去试试，毕竟亲自体验过才知道好坏！对吧！嗯！
【环境】环境非常不错。！！！！
【交通】离市区还是有一段距离的。？！？？
【项目】也还不错。！！！！
【餐饮】也不错！！！！",5.0,2021/5/28,0,1
39,"不错，挺好的，孩子喜欢，
【交通】
【环境】
【餐饮】
【餐饮】",3.0,2021/8/1,0,1
40,"水母种类很多，珊瑚五颜六色的海龟海象，海豹都有，适合小朋友看，值得推荐。
【交通】方便，停车位很多
【环境】靠近海边，空气新鲜，环境还不错，人多，稍微有点拥挤
【餐饮】附近有卖水和饮料的摊位
【项目】海底世界就在附近。",4.0,2021/5/9,0,1
41,很好的体验活动结束时间还有很多人都在这里等待我想知道为什么这么喜欢哈哈,5.0,2021/7/26,0,1
42,只能说一般吧，只是标本区免费，水族馆收费,2.0,2021/8/1,0,1
43,水族馆部分，有动物标本，孩子很喜欢,3.0,2021/7/30,0,1
44,不花钱的好去处，能看到许多漂亮的水母,5.0,2021/6/14,0,1
45,"去年一家三口来的，趁着疫情免费打卡😎😎
交通很方便，地铁就能到达，黄金地段，不太方便停车
水族馆的种类繁多，美丽的水母各式各样，呆呆的大海龟先生，各种各样的鱼类🐟游泳一级棒的海豹
孩子玩得很开心，还能增长见识👪",4.0,2021/4/17,0,2
46,逛了3个小时，孩子喜欢，知识含量高,5.0,2021/7/29,0,1
47,"【环境】很喜欢😘
【交通】方便
【项目】还是不错的哦
【餐饮】附近还有很多吃的
可以带上自己的女朋友，或者女朋友的闺蜜一起也行，这地方很浪漫的哦，拉着小手手，一起看看水母，海豹啥的，感觉好极了呢，下次还会在去的，重点是一定要带上你女朋友的闺蜜一起",5.0,2021/5/26,0,1
48,和朋友去的，当天下大雨，排队人还挺多，因为是周末吧，修建的挺好的，指引的路标做的很好，不至于迷路，地方挺大的动物也挺多，大多以各类鱼为主，还有海豹水母啊之类的，好像还有丛林馆？我半年前去的，有点忘了😂挺适合家长带孩子来,4.0,2021/5/28,0,1
49,景点不错。服务周到，环境优美。,3.0,2021/7/29,0,1
50,挺好的，带孩子去长见识,5.0,2021/7/28,0,1
51,不错啊,5.0,2021/7/31,0,1
52,那么地方还可以 里边的内容还是很丰富的,3.0,2021/7/26,0,1
53,这个票可以逛4个馆，非常满意,5.0,2021/7/29,0,1
54,【环境】总体上还可以，人不太多，环境不错,3.0,2021/7/25,0,1
55,"很棒棒棒棒的体验好好好看 适合游玩  哈哈哈哈特别是适合孩子。和家人的体验很有意思。周末干什么呢 ，快来玩吧，海边海风还有水族馆。很开阔哦 哈哈哈
【交通】便利
【项目】很喜欢
【餐饮】很美味
【环境】很宜人",5.0,2021/5/8,1,2
56,很多很多动物，非常大，很漂亮，关键是停车4小时才2块钱，,5.0,2021/7/21,0,1
57,交通方便环境好适合带着孩子去玩的地方,4.0,2021/7/20,0,1
58,无敌垃圾 不推荐真的不推荐 智商压制,1.0,2021/7/21,1,1
59,免费的很好,4.0,2021/7/24,0,1
60,还不错，娃很高兴～～～～～～～,3.0,2021/7/23,0,1
61,疫情期间去的，前一部分免费，后期是收费的，有点套路似的，但毕竟还免费了一部分,3.0,2021/7/15,0,1
62,相当奈斯,4.0,2021/7/28,0,0
63,非常不错，环境很梦幻，水母非常piao亮！,3.0,2021/5/27,0,1
64,疫情期间免费玩的，很不错,5.0,2021/7/19,0,1
65,好玩呀,5.0,2021/7/19,0,1
66,成年人的话，不建议去，但是带着小孩子的话，可以去看,2.0,2021/7/12,0,1
67,休息过来看看海底小生物，心灵放松啊,5.0,2021/7/13,0,1
68,"这是第二次来了，  第一次去的时候漏下了鲸馆
没想到第二次来时间不够又没去成  有机会还会再来的，依旧是美丽的水母，蠢萌蠢萌的海豚，呆呆的海龟，女生和闺蜜一起来拍照或者让男朋友拍照都绝美的！推荐你们也来打卡啊！",3.0,2021/3/29,0,1
69,带孩子去观看一下还是很不错的体验,3.0,2021/7/12,0,1
70,好喜欢里面的感觉啊，而且好像是海豹馆还有配乐，就是那种深海的感觉，之前上高中的时候来过，现在考了大学，来了青岛上学，和喜欢的人来，又有了不同的感觉，很适合打卡的地方，有好几个馆，不仅仅是视觉盛宴，还能了解到很多的知识，和男朋友一起拍了照片，作为很有意义的留念，期待着以后带着我们的baby一起来呀，虽然是很久以后的事情了，但是生活不就是值得期待的嘛☺️,5.0,2021/3/31,1,2
71,带着孩子来的 环境不错 还有生物的品种也很多,4.0,2021/7/7,0,1
72,bang,5.0,2021/7/14,0,0
73,一个字，好看。,4.0,2021/7/12,0,1
74,还行,5.0,2021/7/12,0,1
75,"好的
【环境】优秀",5.0,2021/7/10,0,1
