,评论,得分,时间,点赞,回复
0,不错,5.0,2021/7/26,0,0
1,景色很美,5.0,2021/6/19,0,0
2,挺好的,5.0,2021/6/13,0,0
3,服务周到，环境不错,4.0,2021/4/3,0,0
4,好,5.0,2021/3/26,0,0
5,很好,4.0,2020/10/22,0,1
6,很好啊,5.0,2020/8/22,0,0
7,还不错的   风景不错      价格也还可以   喜欢,4.0,2020/5/30,0,1
8,女儿每次来的必选项目。这里的大海没有浒苔，所以每次都从市区开到这里的海边玩,5.0,2021/7/24,0,0
9,转的较慢，能长时间的全方位看周边美景，个人感觉挺好，有时间再去玩玩儿,4.0,2021/7/13,0,0
10,很早就听说过港中旅，也一直想去，因为工作原因，一直没去成，这次好不容易休息一天，满足了愿望，坐过了一直想坐的摩天轮，虽然有点恐高，但是是情侣的打卡胜地，俯瞰整个港中旅，遥望远方的大海， 心情非常激动，有时间还会再去的……,5.0,2021/5/31,0,0
11,挺好的，一次15分钟左右。,4.0,2021/7/14,0,0
12,摩天轮如果你不快乐，那就出去走走，世界这么大，风景很美，机会很多。人生很短，不要蜷缩在一处阴影中。,4.0,2021/8/4,0,0
13,强烈推荐，售票小姐姐很热情，态度不错，适合朋友们来玩。,5.0,2021/8/4,0,0
14,推荐带着孩子一起来，小朋友们玩的很开心，景色优美！！！！,5.0,2021/8/4,0,0
15,今天人不多，但是景色很美，工作人员也热情❤️,5.0,2021/8/4,0,0
16,很美，摩天轮很稳，孩子们也不怕,5.0,2021/8/4,0,0
17,设施很完善风景非常好看，美丽的港中旅，太棒了.,5.0,2021/8/1,0,0
18,环境不错，摩天轮很浪漫，在高处很稳，孩子玩的很开心,5.0,2021/8/1,0,0
19,服务周到，太好玩了太好玩了，我爱青岛我爱摩天轮🎡摩天轮，太棒了太棒了太棒了,5.0,2021/8/1,0,0
20,非常好  非常好真的不错  可以带家人体验一下 不错😊,5.0,2021/8/1,0,0
21,环境优美，工作人员服务态度很好，推荐大家来,5.0,2021/8/1,0,0
22,推荐大家来玩，工作人员很专业，服务很贴心，不错,5.0,2021/8/1,0,0
23,很好很好很不错，可以再来，不错不错，太好玩了，很棒，哈哈哈哈哈哈哈哈哈哈哈哈,5.0,2021/8/1,0,0
24,服务很好，风景也好,5.0,2021/8/3,0,0
25,很好玩，强烈推荐,5.0,2021/8/3,0,0
26,很好的出游选择,4.0,2021/8/3,0,0
27,设施完好，服务周到，风景挺好看,5.0,2021/6/16,0,0
28,服务态度太好了，会为我考虑，推荐的套餐划算适合我，谢谢😊,5.0,2021/7/20,0,0
29,"设施很好，孩子坐的很开心，意犹未尽！
老母亲恐高，吓得慌。",5.0,2021/7/15,0,0
30,一般一会儿结束了,4.0,2021/6/13,0,0
31,很大的摩天轮，非常好,5.0,2021/7/3,0,0
32,非常好，感觉地上的人像小蚂蚁一样，爽极了,5.0,2021/7/17,0,0
33,带孩子体验的真不错 孩子特别喜欢 不出即墨就可以坐的摩天轮🎡,5.0,2021/7/14,0,0
34,强烈推荐，工作人员服务热情，很专业,5.0,2021/7/17,0,0
35,很好玩服务也好，强烈推荐大家开玩,5.0,2021/7/17,0,0
36,强烈推荐！孩子坐的很开心，意犹未尽！,5.0,2021/7/15,0,0
37,非常棒！景色优美！,5.0,2021/7/14,0,0
38,工作人员服务态度很热情，环境也不错，值得推荐！,5.0,2021/7/4,0,0
39,高处的风景更优美，票价也不贵，建议大家体验体验,4.0,2021/7/5,0,0
40,服务态度一点都不好~尤其6.29号下午~问那个售票员爱理不理的德行~再也不想去了,1.0,2021/6/29,0,0
41,"特别好玩儿和姐姐一起看看风景特别好,还有空调",5.0,2021/6/18,0,0
42,真的推荐情侣去，特别好，在海边，完事还可以去海边看一看。只是位置比较偏，坐地铁也是可以的，但是值得一去。在地铁上可以可以看风景，有一段是可以看到崂山风景区的吧。如果有机会，情侣去看看，还是很有意义的事情！据说一圈是18分钟哦！不是所说的13分14秒。,5.0,2021/4/15,0,0
43,"设施很好，
【环境】不错，看海风景优美",5.0,2021/7/3,0,0
44,工作人员很热情，游客也不是很多，摩天轮很平稳，总体感觉不错。,5.0,2021/5/19,0,0
45,工作人员服务热情，环境很优美，推荐,5.0,2021/7/4,0,0
46,家人来玩不错，很宽敞，景色不错,5.0,2021/7/4,0,0
47,超级开心的，超级好，最顶上可以看见远处的山。但是海边就不太好了，海很漂亮但是沙滩上好多垃圾,4.0,2021/5/21,0,0
48,还会再来，很有意思，适合情侣，很浪漫,5.0,2021/7/4,0,0
49,还不错，长这么大第一次坐摩天轮。,5.0,2021/5/4,0,0
50,强烈推荐，可以很直观的看到对面的大海以及奥特莱斯商场，给人的感觉无比震撼，做完一圈还想接着坐，拍照都不够拍的！！！好评！！！！,5.0,2021/4/25,0,1
51,环境不错的，情侣来坐摩天轮很浪漫，可以看海，一举两得,5.0,2021/5/17,0,0
52,风景不错，推荐来玩一下，工作人员态度很好,5.0,2021/6/20,0,0
53,很好玩 一般十五分钟,5.0,2021/5/26,0,0
54,针不戳,5.0,2021/5/26,0,0
55,环境很好，里面有空调，一点也不会闷热，服务态度也很好，强烈推荐哦,5.0,2021/6/14,0,0
56,里面有空调，很凉快，景色也好，值得推荐,5.0,2021/6/20,0,0
57,棒棒哒！推荐打卡，风景很好，靠着大海，空气也新鲜，就是卫生间离得太远了，最近的卫生间在停车场二楼那边卖衣服的街上，有点小远呀，这么大的摩天轮竟然没有卫生间！,5.0,2021/5/12,0,0
58,风景不错，空调挺好的,5.0,2021/6/19,0,0
59,还不错，挺好的，人不多，服务态度好，适合旅游，㊗️卖家生意兴隆，财源广进，财源滚滚随春到，喜气洋洋伴福来,3.0,2021/4/22,1,0
60,海边很美好，大曼很带劲，海风很不错 我会让你喜欢,5.0,2021/6/17,0,0
61,服务周到，景色很美,5.0,2021/6/19,0,0
62,可以去，我去的时候大雾，没看到什呢,5.0,2021/6/16,0,0
63,带孩子来的 宝宝很开心 下次还来,5.0,2021/5/30,0,0
